Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/LongLat_Field""), 0)",,,,2021-10-12 20:16:09,2021-10-12 20:16:10,0.252s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/PinPoin_Text""), 0)",,,,2021-10-12 20:16:10,2021-10-12 20:16:11,0.894s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/PinPoin_Text""), 0)",,,,2021-10-12 20:16:11,2021-10-12 20:16:11,0.217s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Lewati_Button""), 0)",,,,2021-10-12 20:16:11,2021-10-12 20:16:12,1.282s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Lewati_Button""), 0)",,,,2021-10-12 20:16:12,2021-10-12 20:16:13,0.894s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2021-10-12 20:16:13,2021-10-12 20:16:15,2.005s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Pasang_Button""), 0)",,,,2021-10-12 20:16:15,2021-10-12 20:16:16,1.400s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Simpan_Button""), 0)",,,,2021-10-12 20:16:16,2021-10-12 20:16:18,1.728s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Pasang_Button""), 0)",,,,2021-10-12 20:16:18,2021-10-12 20:16:19,0.739s,PASSED
"doubleTap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Pasang_Button""), 0)",,,,2021-10-12 20:16:19,2021-10-12 20:16:21,1.905s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Simpan_Button""), 0)",,,,2021-10-12 20:16:21,2021-10-12 20:16:21,0.322s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Sesuai_Card""), 0)",,,,2021-10-12 20:16:21,2021-10-12 20:16:22,1.009s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Sesuai_Card""), 0)",,,,2021-10-12 20:16:22,2021-10-12 20:16:22,0.267s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Simpan_Button""), 0)",,,,2021-10-12 20:16:22,2021-10-12 20:16:23,0.703s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Simpan_Button""), 0)",,,,2021-10-12 20:16:23,2021-10-12 20:16:23,0.263s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Ya_Button""), 0)",,,,2021-10-12 20:16:23,2021-10-12 20:16:24,0.982s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Ya_Button""), 0)",,,,2021-10-12 20:16:24,2021-10-12 20:16:24,0.215s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2021-10-12 20:16:24,2021-10-12 20:16:26,2.002s,PASSED
"verifyElementExist(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Ya_Button""), 0)",,,,2021-10-12 20:16:26,2021-10-12 20:16:27,0.079s,PASSED
"tap(findTestObject(""AgreeFA/Pengajuan Lahan Baru/Ya_Button""), 0)",,,,2021-10-12 20:16:27,2021-10-12 20:16:27,0.212s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2021-10-12 20:16:27,2021-10-12 20:16:29,2.007s,PASSED
